Name,playerID,Unnamed: 0,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
Aníbal Sánchez,sanchan01,9557.0,116.0,119.0,72.82,364.0,341.0,9.0,9.0,7.0,0.0,6053.0,1960.0,987.0,910.0,238.0,686.0,44.0,1774.0,60.0,19.0,2017.66666666667,0.493617021276596
Wilbur Wood,woodwi01,11942.0,164.0,156.0,75.24,651.0,297.0,198.0,114.0,24.0,57.0,8052.0,2582.0,1130.0,965.0,209.0,724.0,71.0,1411.0,63.0,6.0,2684.0,0.5125
Lance Lynn,lynnla01,6529.0,143.0,99.0,57.65,364.0,340.0,4.0,4.0,2.0,1.0,6019.0,1856.0,916.0,834.0,231.0,704.0,21.0,2015.0,89.0,0.0,2006.33333333333,0.590909090909091
Cliff Lee,leecl01,,,,,,,,,,,,,,,,,,,,,,
Aaron Nola,nolaaa01,7942.0,109.0,89.0,43.35,285.0,285.0,0.0,6.0,4.0,0.0,5147.0,1522.0,769.0,730.0,217.0,449.0,16.0,1876.0,56.0,2.0,1715.66666666667,0.55050505050505
Gerrit Cole,colege01,2048.0,153.0,80.0,38.6,317.0,317.0,0.0,8.0,5.0,0.0,5862.0,1627.0,740.0,690.0,217.0,500.0,7.0,2251.0,61.0,9.0,1954.0,0.656652360515021
Sonny Gray,grayso01,4164.0,125.0,102.0,50.97,339.0,330.0,2.0,7.0,5.0,0.0,5754.0,1675.0,836.0,763.0,192.0,621.0,5.0,1925.0,57.0,6.0,1918.0,0.550660792951542
Freddy García,garcifr01,,,,,,,,,,,,,,,,,,,,,,
Félix Hernández,hernafe01,4779.0,0.0,0.0,40.5,2.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,6.0,0.0,3.0,1.0,2.0,1.0,0.0,1.33333333333333,
Chris Sale,salech01,9530.0,145.0,88.0,44.77,393.0,312.0,25.0,16.0,3.0,12.0,6252.0,1692.0,750.0,697.0,213.0,487.0,15.0,2579.0,130.0,2.0,2084.0,0.622317596566524
Jimmy Keppinger,keppiji01,,,,,,,,,,,,,,,,,,,,,,
Dave Steeves,steevda01,,,,,,,,,,,,,,,,,,,,,,
